FID;CID;curvature1;waterriver;VGTB_LandC;fill_dgmq3;litho1;dgm_slope1;aspect;curv_pln;curv_profi;soil1;NEAR_FID;NEAR_DIST;longitude;latitude;is_ls;Topographi
599;0;1,2162800;99;2;523,3419800;4;11,4688997;122,8199997;0,4870260;-0,7292550;10;30;414,929316339000025;764402,0000000;1725700,0000000;0;5,6275702
600;0;0,0012902;99;5;87,3272018;4;2,0191600;138,3119965;0,0014384;0,0001482;5;3;592,547329349000051;854182,0000000;1712540,0000000;0;7,5541201
601;0;0,2730950;99;2;455,8039856;4;9,2002296;157,3690033;0,0568662;-0,2162290;10;30;450,222055832000024;769117,0000000;1728990,0000000;0;7,1581802
602;0;0,4138520;99;1;341,1470032;3;24,2619991;100,8489990;-0,1061630;-0,5200150;3;40;328,697063175999972;803982,0000000;1713710,0000000;0;4,8918300
603;0;-0,0000000;99;2;15,9667997;3;0,0000000;-1,0000000;0,0000000;0,0000000;4;44;262,295844938000016;821458,0000000;1755450,0000000;0;12,7454004
604;0;0,4428370;99;2;507,7789917;4;9,6434202;143,9459991;0,8272190;0,3843820;3;30;615,045537322999962;766269,0000000;1727760,0000000;0;5,2225900
605;0;-0,6530720;99;1;110,6190033;3;20,6123009;138,7550049;-0,4223090;0,2307630;6;44;566,412267315999998;826885,0000000;1759230,0000000;0;5,8159199
606;0;-0,0621877;99;2;5,4037199;5;1,9551200;318,0939941;-0,0003542;0,0618335;9;0;23,307811012999998;846821,0000000;1781470,0000000;0;9,2293100
607;0;-0,0000000;99;2;40,1142998;5;0,0000000;-1,0000000;0,0000000;0,0000000;10;22;199,659885730000013;844577,0000000;1734230,0000000;0;12,2805004
608;0;-0,9457400;99;2;541,3820190;3;16,0454998;143,4420013;-0,4692110;0,4765280;3;4;142,778257392999990;780422,0000000;1762370,0000000;0;5,0441699
609;0;-0,3346540;90;5;4,0118999;5;0,8406720;161,0950012;-0,2689060;0,0657487;3;44;1151,027532029999975;841451,0000000;1771760,0000000;0;8,8482399
610;0;0,9155850;99;1;75,9740982;4;12,9533005;57,5335999;0,4537070;-0,4618780;3;3;219,382121363000010;854288,0000000;1714180,0000000;0;6,0039401
611;0;0,1990630;99;3;672,7299805;3;33,3217010;134,9790039;0,1223650;-0,0766980;3;42;1371,981718680000085;783123,0000000;1753370,0000000;0;5,2186599
612;0;0,8936190;99;1;428,2000122;3;21,2327003;334,9559937;0,7039840;-0,1896360;3;22;631,448795270000005;807704,0000000;1708020,0000000;0;4,7989802
613;0;0,1821560;99;1;1114,8399658;3;23,9953003;71,5852966;0,2453450;0,0631892;1;54;420,364179132999993;793424,0000000;1686450,0000000;0;5,6671000
